Archivo,SpO2_real,RMS_IR,RMS_RED,Ratio,SpO2_estimado,Error (%)
raw_data_91_91.csv,91,32048.470337314884,54623.45297779288,1.70440125231791,95.23042196265885,4.230421962658852
raw_data_92_76.csv,92,32941.81400009573,4240.600827059794,0.12873003372089561,96.73692121475945,4.736921214759448
raw_data_93_100.csv,93,26349.948632063777,28045.77175140697,1.0643577390993333,95.84236756564712,2.8423675656471232
raw_data_95_77_2.csv,95,53323.93201453785,52501.13512113241,0.9845698383011005,95.91865277760031,0.9186527776003146
raw_data_95_80.csv,95,35845.12135611409,18706.256465336573,0.5218633877534872,96.3610464149689,1.3610464149688966
raw_data_95_81_papa.csv,95,23099.02893488667,60610.265678717034,2.62393132843679,94.35125925688159,-0.6487407431184096
raw_data_95_99.csv,95,37621.29014603717,31481.73161170518,0.8368062735089722,96.05992952189807,1.05992952189807
raw_data_96_69.csv,96,59828.4682372864,60354.82207108191,1.0087977153569758,95.8954885043472,-0.10451149565280105
raw_data_96_81.csv,96,27989.648915980564,6840.963506578175,0.24441047928516021,96.62631914075546,0.6263191407554558
raw_data_97_95.csv,97,30005.914048355335,3548.776661979473,0.11826924039909346,96.74692277925443,-0.25307722074556693
raw_data_98_81.csv,98,36495.43227760907,13245.250077575736,0.3629289818195154,96.51300360048236,-1.4869963995176363
raw_data_98_86.csv,98,22873.351106383685,1897.2398437404074,0.08294542565784818,96.78069587852853,-1.2193041214714668
raw_data_99_73.csv,99,46236.5367835768,46042.20167613282,0.9957969363416291,95.90791854916377,-3.0920814508362326
raw_data_99_75.csv,99,45367.84826991004,24335.796188616227,0.5364106325659002,96.34713779420375,-2.6528622057962536
raw_data_99_91.csv,99,43403.621196171836,52839.28244162398,1.2173934106282442,95.69605016009834,-3.3039498399016622
