Archivo,FC esperada (bpm),HR IR (bpm),HR RED (bpm)
raw_data_91_91.csv,91,92.38,70.59
raw_data_92_76.csv,76,83.74,82.87
raw_data_93_100.csv,100,97.24,73.53
raw_data_95_77_2.csv,2,81.74,80.11
raw_data_95_80.csv,80,75.0,75.0
raw_data_95_81_papa.csv,81,80.11,80.11
raw_data_95_99.csv,99,94.94,94.94
raw_data_96_106.csv,106,100.08,94.94
raw_data_96_69.csv,69,72.03,72.03
raw_data_97_119.csv,119,120.0,120.24
raw_data_97_95.csv,95,94.94,94.94
raw_data_98_81.csv,81,80.11,80.11
raw_data_98_86.csv,86,85.71,85.84
raw_data_98_91.csv,91,102.92,102.92
raw_data_99_75.csv,75,75.0,73.53
raw_data_99_91.csv,91,81.86,66.67
