Archivo,FC esperada (bpm),FC estimada (bpm)
raw_data_91_91.csv,91,90.58
raw_data_92_76.csv,76,85.66
raw_data_93_100.csv,100,91.13
raw_data_95_77_2.csv,2,85.77
raw_data_95_80.csv,80,76.97
raw_data_95_81_papa.csv,81,82.17
raw_data_95_99.csv,99,92.66
raw_data_96_106.csv,106,93.17
raw_data_96_69.csv,69,74.68
raw_data_97_119.csv,119,93.63
raw_data_97_95.csv,95,93.79
raw_data_98_81.csv,81,81.15
raw_data_98_86.csv,86,86.75
raw_data_98_91.csv,91,99.38
raw_data_99_75.csv,75,76.74
raw_data_99_91.csv,91,85.1
