Archivo,FC esperada (bpm),FC calculada (bpm)
raw_data_91_91.csv,91,91.91
raw_data_92_76.csv,76,83.35
raw_data_93_100.csv,100,85.99
raw_data_95_77_2.csv,2,80.9
raw_data_95_80.csv,80,75.91
raw_data_95_81_papa.csv,81,80.5
raw_data_95_99.csv,99,95.04
raw_data_96_106.csv,106,77.17
raw_data_96_69.csv,69,70.98
raw_data_97_119.csv,119,66.34
raw_data_97_95.csv,95,95.25
raw_data_98_81.csv,81,80.76
raw_data_98_86.csv,86,86.07
raw_data_98_91.csv,91,100.0
raw_data_99_75.csv,75,74.67
raw_data_99_91.csv,91,82.55
