Archivo,HR Media IR (BPM),HR Media RED (BPM)
raw_data_91_91.csv,50.61995558318563,
raw_data_92_76.csv,47.1269457736802,48.56543659164326
raw_data_93_100.csv,54.38297864949965,
raw_data_95_77_2.csv,50.11120694160626,48.20831896008165
raw_data_95_80.csv,55.19800030416938,54.876280457206256
raw_data_95_81_papa.csv,44.10181509145498,43.96404107394634
raw_data_95_99.csv,53.319851851717274,51.59659567438526
raw_data_96_69.csv,62.51059905942244,62.63455397152553
raw_data_96_81.csv,40.99367893141367,41.00973641466638
raw_data_97_95.csv,50.367637805190135,50.921542756408215
raw_data_98_81.csv,40.70835915364793,41.034448172046524
raw_data_98_86.csv,47.685535745546076,47.78083608330682
raw_data_99_73.csv,,
raw_data_99_75.csv,49.29275919172872,51.68558117205946
raw_data_99_91.csv,51.76325661335809,
